n,signature,new_signature_at_n,first_seen_n
247,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
248,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
249,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
250,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
251,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
252,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
253,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
254,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
255,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
256,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
257,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
258,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
259,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
260,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
261,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
262,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
263,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
264,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
265,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
266,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
267,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
268,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
269,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
270,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
271,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
272,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
273,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
274,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
275,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
276,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
277,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
278,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
279,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
280,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
281,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
282,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
283,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
284,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
285,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
286,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
287,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
288,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
289,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
290,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
291,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
292,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
293,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
294,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
295,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
296,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
297,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
